Previous failed sample list file detected, remove it
QC file for go28915_ngs_rna_wts_rnaaccess_EA_752e0b914b_20170522 has been detected, skip this sample
QC file for go28915_ngs_rna_wts_rnaaccess_EA_7eba74a7dd_20170520 has been detected, skip this sample
QC file for go28915_ngs_rna_wts_rnaaccess_EA_5e194ff13c_20170521 has been detected, skip this sample
QC file for go28915_ngs_rna_wts_rnaaccess_EA_24807a37dd_20170520 has been detected, skip this sample
QC file for go28915_ngs_rna_wts_rnaaccess_EA_c25ac1d9df_20170519 has been detected, skip this sample
QC file for go28915_ngs_rna_wts_rnaaccess_EA_0c549080fd_20170512 has been detected, skip this sample
QC file for go28915_ngs_rna_wts_rnaaccess_EA_dee3abb161_20170512 has been detected, skip this sample
QC file for go28915_ngs_rna_wts_rnaaccess_EA_c1c40380dc_20170522 has been detected, skip this sample
QC file for go28915_ngs_rna_wts_rnaaccess_EA_2f4c72da22_20170520 has been detected, skip this sample
QC file for go28915_ngs_rna_wts_rnaaccess_EA_790c4d771c_20170520 has been detected, skip this sample
QC file for go28915_ngs_rna_wts_rnaaccess_EA_e79544efe4_20170526 has been detected, skip this sample
QC file for go28915_ngs_rna_wts_rnaaccess_EA_44b121568a_20170517 has been detected, skip this sample
QC file for go28915_ngs_rna_wts_rnaaccess_EA_c2c0dfe2a6_20170521 has been detected, skip this sample
QC file for go28915_ngs_rna_wts_rnaaccess_EA_ed31f645a6_20170512 has been detected, skip this sample
QC file for go28915_ngs_rna_wts_rnaaccess_EA_9f4ca88d34_20170521 has been detected, skip this sample
QC file for go28915_ngs_rna_wts_rnaaccess_EA_e43db4f4b3_20170522 has been detected, skip this sample
QC file for go28915_ngs_rna_wts_rnaaccess_EA_6d0dd89017_20170517 has been detected, skip this sample
QC file for go28915_ngs_rna_wts_rnaaccess_EA_56afd24141_20170522 has been detected, skip this sample
QC file for go28915_ngs_rna_wts_rnaaccess_EA_1c003c97de_20170520 has been detected, skip this sample
QC file for go28915_ngs_rna_wts_rnaaccess_EA_92f13ff253_20170517 has been detected, skip this sample
QC file for go28915_ngs_rna_wts_rnaaccess_EA_d9d7aa94b3_20170512 has been detected, skip this sample
QC file for go28915_ngs_rna_wts_rnaaccess_EA_2194d92157_20170521 has been detected, skip this sample
QC file for go28915_ngs_rna_wts_rnaaccess_EA_5f98044082_20170521 has been detected, skip this sample
QC file for go28915_ngs_rna_wts_rnaaccess_EA_247eff8239_20170517 has been detected, skip this sample
